Jazz;
Jazz;Acid jazz
Jazz;Afro-Cuban jazz
Jazz;Avant-garde jazz
Jazz;Bebop
Jazz;Boogie-woogie
Jazz;Bossa nova
Jazz;British dance band
Jazz;Cape jazz
Jazz;Chamber jazz
Jazz;Continental jazz
Jazz;Cool jazz
Jazz;Crossover jazz
Jazz;Dixieland
Jazz;Ethno jazz
Jazz;European free jazz
Jazz;Free funk
Jazz;Free improvisation
Jazz;Free jazz
Jazz;Gypsy jazz
Jazz;Hard bop
Jazz;Jazz blues
Jazz;Jazz-funk
Jazz;Jazz fusion
Jazz;Jazz rap
Jazz;Jazz rock
Jazz;Kansas City blues
Jazz;Kansas City jazz
Jazz;Latin jazz
Jazz;Livetronica
Jazz;Lofi
Jazz;M-Base
Jazz;Mainstream jazz
Jazz;Modal jazz
Jazz;Neo-bop jazz
Jazz;Neo-swing
Jazz;Novelty ragtime
Jazz;Nu jazz
Jazz;Orchestral jazz
Jazz;Post-bop
Jazz;Progressive jazz
Jazz;Psychedelic jazz
Jazz;Punk jazz
Jazz;Ragtime
Jazz;Shibuya-kei
Jazz;Ska jazz
Jazz;Smooth jazz
Jazz;Soul jazz
Jazz;Stride jazz
Jazz;Straight-ahead jazz
Jazz;Swing
Jazz;Third stream
Jazz;Trad jazz
Jazz;Vocal jazz
Jazz;West Coast jazz
