Electronic
Electronic/Ambient
Electronic/Ambient/Ambient dub
Electronic/Ambient/Dark ambient
Electronic/Ambient/Dark ambient/Dungeon synth
Electronic/Ambient/Dark ambient/Isolationism
Electronic/Ambient/Drone
Electronic/Ambient/New-age
Electronic/Ambient/New-age/Andean new-age
Electronic/Ambient/New-age/Neoclassical new-age
Electronic/Ambient/New-age/Space music
Electronic/Ambient/Reductionism
Electronic/Ambient/Reductionism/Lowercase
Electronic/Ambient/Reductionism/Onkyokei
Electronic/Bass music
Electronic/Bass music/Future bass
Electronic/Bass music/Future bass/Kawaii future bass
Electronic/Bass music/Slime punk
Electronic/Bass music/UK bass
Electronic/Breakbeat
Electronic/Breakbeat/Acid breaks
Electronic/Breakbeat/Baltimore club
Electronic/Breakbeat/Baltimore club/Jersey club
Electronic/Breakbeat/Big beat
Electronic/Breakbeat/Breakbeat hardcore
Electronic/Breakbeat/Breakbeat hardcore/4-beat
Electronic/Breakbeat/Breakbeat hardcore/Darkcore
Electronic/Breakbeat/Broken beat
Electronic/Breakbeat/Florida breaks
Electronic/Breakbeat/Nu skool breaks
Electronic/Breakbeat/Progressive breaks
Electronic/Disco
Electronic/Disco/Afro/cosmic music
Electronic/Disco/Electro-disco
Electronic/Disco/Electro-disco/Hi-NRG
Electronic/Disco/Electro-disco/Hi-NRG/Eurobeat/
Electronic/Disco/Electro-disco/Hi-NRG/Eurodance/
Electronic/Disco/Electro-disco/Hi-NRG/Eurodance/Hands up
Electronic/Disco/Electro-disco/Hi-NRG/Eurodance/Italo dance
Electronic/Disco/Electro-disco/Italo disco
Electronic/Disco/Electro-disco/Italo disco/Spacesynth/
Electronic/Disco/Electro-disco/Space disco
Electronic/Disco/Euro disco
Electronic/Disco/Nu-disco
Electronic/Disco/Post-disco
Electronic/Disco/Post-disco/Boogie
Electronic/Disco/Post-disco/City pop
Electronic/Downtempo
Electronic/Downtempo/Acid jazz
Electronic/Downtempo/Chill-out
Electronic/Downtempo/Illbient
Electronic/Downtempo/Trip hop
Electronic/Drum and bass
Electronic/Drum and bass/Darkstep
Electronic/Drum and bass/Drumstep
Electronic/Drum and bass/Funkstep
Electronic/Drum and bass/Hardstep
Electronic/Drum and bass/Intelligent drum and bass
Electronic/Drum and bass/Jazzstep
Electronic/Drum and bass/Jump-up
Electronic/Drum and bass/Liquid funk
Electronic/Drum and bass/Neurofunk
Electronic/Drum and bass/Sambass
Electronic/Drum and bass/Techstep
Electronic/Dub
Electronic/Dub/Dub poetry
Electronic/Electroacoustic music
Electronic/Electroacoustic music/Acousmatic music
Electronic/Electroacoustic music/Electroacoustic improvisation
Electronic/Electroacoustic music/Live electronics
Electronic/Electroacoustic music/Musique concrète
Electronic/Electronic rock
Electronic/Electronic rock/Dance-rock
Electronic/Electronic rock/Alternative dance
Electronic/Electronic rock/Alternative dance/Madchester
Electronic/Electronic rock/Alternative dance/Madchester/Baggy/
Electronic/Electronic rock/Dance-punk
Electronic/Electronic rock/Dance-punk/New rave
Electronic/Electronic rock/Electronicore
Electronic/Electronic rock/Krautrock
Electronic/Electronic rock/New wave
Electronic/Electronic rock/New wave/Cold wave
Electronic/Electronic rock/New wave/Dark wave
Electronic/Electronic rock/New wave/Dark wave/Neoclassical dark wave/
Electronic/Electronic rock/New wave/Dark wave/Neue Deutsche Todeskunst/
Electronic/Electronic rock/New wave/Ethereal wave
Electronic/Electronic rock/New wave/Ethereal wave/Nu-gaze/
Electronic/Electronic rock/New wave/Minimal wave
Electronic/Electronic rock/New wave/Neue Deutsche Welle
Electronic/Electronic rock/New wave/New romantic
Electronic/Electronic rock/New wave/Synth-pop
Electronic/Electronic rock/New wave/Synth-pop/Disco polo/
Electronic/Electronic rock/New wave/Synth-pop/Electroclash/
Electronic/Electronic rock/New wave/Synth-pop/Electroclash/Electropop
Electronic/Electronic rock/New wave/Synth-pop/Indietronica/
Electronic/Electronic rock/Post-rock
Electronic/Electronic rock/Space rock
Electronic/Electronic rock/Synth-punk
Electronic/Electronica
Electronic/Electronica/Berlin School
Electronic/Electronica/Dubtronica
Electronic/Electronica/Folktronica
Electronic/Electronica/Funktronica
Electronic/Electronica/Jazztronica
Electronic/Electronica/Laptronica
Electronic/Electronica/Livetronica
Electronic/Electronica/Progressive electronic
Electronic/Ethnic electronica
Electronic/Ethnic electronica/Asian underground
Electronic/Ethnic electronica/African electronic dance music
Electronic/Ethnic electronica/African electronic dance music/Afrobeats
Electronic/Ethnic electronica/African electronic dance music/Afrobeats/Azonto/
Electronic/Ethnic electronica/African electronic dance music/Coupé-Décalé
Electronic/Ethnic electronica/African electronic dance music/Kuduro
Electronic/Ethnic electronica/African electronic dance music/Mahraganat
Electronic/Ethnic electronica/African electronic dance music/Shangaan electro
Electronic/Ethnic electronica/Dancehall pop
Electronic/Ethnic electronica/Nortec
Electronic/Ethnic electronica/Rabòday
Electronic/Ethnic electronica/Rara tech
Electronic/Ethnic electronica/Shamstep
Electronic/Ethnic electronica/Trival
Electronic/Ethnic electronica/Worldbeat
Electronic/Ethnic electronica/Worldbeat/Manila sound
Electronic/Ethnic electronica/Worldbeat/Budots
Electronic/Jungle
Electronic/Jungle/Ragga jungle
Electronic/Hardcore
Electronic/Hardcore/Bouncy techno
Electronic/Hardcore/Breakcore
Electronic/Hardcore/Breakcore/Raggacore
Electronic/Hardcore/Cybergrind
Electronic/Hardcore/Digital hardcore
Electronic/Hardcore/Doomcore
Electronic/Hardcore/Frenchcore
Electronic/Hardcore/Gabber
Electronic/Hardcore/Gabber/Mainstream hardcore
Electronic/Hardcore/Happy hardcore
Electronic/Hardcore/Lento violento
Electronic/Hardcore/Mákina
Electronic/Hardcore/Speedcore
Electronic/Hardcore/Speedcore/Extratone
Electronic/Hardcore/Speedcore/Splittercore
Electronic/Hardstyle
Electronic/Hardstyle/Dubstyle
Electronic/Hardstyle/Jumpstyle
Electronic/Hauntology
Electronic/Hauntology/Chillwave
Electronic/Hauntology/Hypnagogic pop
Electronic/Hauntology/Synthwave
Electronic/Hauntology/Synthwave/Sovietwave
Electronic/Hauntology/Vaporwave
Electronic/Hauntology/Vaporwave/Future funk
Electronic/Hauntology/Vaporwave/Hardvapour
Electronic/Hauntology/Vaporwave/Mallsoft
Electronic/Hip hop fusion genres
Electronic/Hip hop fusion genres/Afroswing
Electronic/Hip hop fusion genres/Alternative hip hop
Electronic/Hip hop fusion genres/Alternative hip hop/Hipster hop
Electronic/Hip hop fusion genres/Cloud rap
Electronic/Hip hop fusion genres/Crunk
Electronic/Hip hop fusion genres/Crunk/Crunkcore
Electronic/Hip hop fusion genres/Crunk/Snap music
Electronic/Hip hop fusion genres/Emo rap
Electronic/Hip hop fusion genres/Electro
Electronic/Hip hop fusion genres/Electro/Latin freestyle
Electronic/Hip hop fusion genres/Hip house
Electronic/Hip hop fusion genres/Instrumental hip hop
Electronic/Hip hop fusion genres/Instrumental hip hop/Lo-fi hip hop
Electronic/Hip hop fusion genres/Merenrap
Electronic/Hip hop fusion genres/Merenrap/Merenhouse
Electronic/Hip hop fusion genres/Miami bass
Electronic/Hip hop fusion genres/Miami bass/Funk carioca
Electronic/Hip hop fusion genres/Miami bass/Funk carioca/Funk ostentação/
Electronic/Hip hop fusion genres/Miami bass/Funk carioca/Melodic funk/
Electronic/Hip hop fusion genres/Miami bass/Funk carioca/Proibidão/
Electronic/Hip hop fusion genres/Miami bass/Funk carioca/Rasteirinha/
Electronic/Hip hop fusion genres/Mumble rap
Electronic/Hip hop fusion genres/Trap
Electronic/Hip hop fusion genres/Trap/Drill
Electronic/Hip hop fusion genres/Trap/Drill/UK drill/
Electronic/Hip hop fusion genres/Trap/Latin trap
Electronic/Hip hop fusion genres/Trap/Phonk
Electronic/Hip hop fusion genres/Trap/Trap (EDM)
Electronic/Hip hop fusion genres/Trap/UK trap
Electronic/Industrial \ post-industrial
Electronic/Industrial \ post-industrial/Deconstructed club
Electronic/Industrial \ post-industrial/Electro-industrial
Electronic/Industrial \ post-industrial/Electro-industrial/Dark electro
Electronic/Industrial \ post-industrial/Electro-industrial/Dark electro/Aggrotech/
Electronic/Industrial \ post-industrial/Electronic body music (EBM)
Electronic/Industrial \ post-industrial/Electronic body music (EBM)/Futurepop
Electronic/Industrial \ post-industrial/Electronic body music (EBM)/New beat
Electronic/Industrial \ post-industrial/Industrial hip hop
Electronic/Industrial \ post-industrial/Industrial metal
Electronic/Industrial \ post-industrial/Industrial metal/Neue Deutsche Härte
Electronic/Industrial \ post-industrial/Industrial rock
Electronic/Industrial \ post-industrial/Martial industrial
Electronic/Industrial \ post-industrial/Neofolk
Electronic/Industrial \ post-industrial/Witch house
Electronic/Intelligent dance music (IDM)
Electronic/Intelligent dance music (IDM)/Drill 'n' bass
Electronic/Intelligent dance music (IDM)/Glitch
Electronic/Intelligent dance music (IDM)/Glitch/Glitch hop
Electronic/Noise music
Electronic/Noise music/Danger music
Electronic/Noise music/Japanoise
Electronic/Noise music/Harsh noise
