Rock
Rock/Heavy metal
Rock/Heavy metal/Alternative metal
Rock/Heavy metal/Avant-garde metal
Rock/Heavy metal/Black metal
Rock/Heavy metal/Black metal/Symphonic black metal/
Rock/Heavy metal/Black metal/Viking metal/
Rock/Heavy metal/Black metal/War metal/
Rock/Heavy metal/Black metal/National Socialist black metal/
Rock/Heavy metal/Christian metal
Rock/Heavy metal/Christian metal/Unblack metal/
Rock/Heavy metal/Death metal
Rock/Heavy metal/Death metal/Death 'n' roll/
Rock/Heavy metal/Death metal/Melodic death metal/
Rock/Heavy metal/Death metal/Technical death metal/
Rock/Heavy metal/Death metal/Deathgrind/
Rock/Heavy metal/Doom metal
Rock/Heavy metal/Doom metal/Doom metal § Black-doom/
Rock/Heavy metal/Doom metal/Doom metal § Blackened death-doom/
Rock/Heavy metal/Doom metal/Death-doom/
Rock/Heavy metal/Doom metal/Death-doom/Doom metal § Funeral doom
Rock/Heavy metal/Doom metal/Drone metal/
Rock/Heavy metal/Doom metal/Doom metal § Epic doom/
Rock/Heavy metal/Doom metal/Doom metal § Gothic-doom/
Rock/Heavy metal/Doom metal/Doom metal § Progressive doom/
Rock/Heavy metal/Doom metal/Sludge metal/
Rock/Heavy metal/Doom metal/Stoner rock/
Rock/Heavy metal/Doom metal/Doom metal § Traditional doom/
Rock/Heavy metal/Epic metal
Rock/Heavy metal/Folk metal
Rock/Heavy metal/Folk metal/Celtic metal/
Rock/Heavy metal/Folk metal/Medieval metal/
Rock/Heavy metal/Folk metal/Pagan metal/
Rock/Heavy metal/Funk metal
Rock/Heavy metal/Glam metal
Rock/Heavy metal/Gothic metal
Rock/Heavy metal/Pirate metal
Rock/Heavy metal/Grindcore
Rock/Heavy metal/Nintendocore
Rock/Heavy metal/Industrial metal
Rock/Heavy metal/Info metal
Rock/Heavy metal/Kawaii metal
Rock/Heavy metal/Latin metal
Rock/Heavy metal/Metalcore
Rock/Heavy metal/Metalcore/Melodic metalcore/
Rock/Heavy metal/Metalcore/Deathcore/
Rock/Heavy metal/Metalcore/Mathcore/
Rock/Heavy metal/Metalstep
Rock/Heavy metal/Neoclassical metal
Rock/Heavy metal/Neue Deutsche Härte
Rock/Heavy metal/Nu metal
Rock/Heavy metal/Post-metal
Rock/Heavy metal/Power metal
Rock/Heavy metal/Progressive metal
Rock/Heavy metal/Progressive metal/Djent/
Rock/Heavy metal/Rap metal
Rock/Heavy metal/Speed metal
Rock/Heavy metal/Symphonic metal
Rock/Heavy metal/Thrash metal
Rock/Heavy metal/Thrash metal/Crossover thrash/
Rock/Heavy metal/Thrash metal/Groove metal/
