Folk
Folk/Anti-folk
Folk/Turbo-folk
Folk/Celtic
Folk/Chalga
Folk/Filk
Folk/Folk rock
Folk/Folktronica
Folk/Freak folk
Folk/Indie folk
Folk/Industrial folk
Folk/Neofolk
Folk/Progressive folk
Folk/Protest song
Folk/Psychedelic folk
Folk/Singer-songwriter
Folk/Skiffle
Folk/Sung poetry
Folk/Traditional Folk
Folk/Western music
