House
House/Acid house
House/Afro house
House/Afro house/Amapiano/
House/Afro house/Gqom/
House/Afro house/Kidandali/
House/Afro house/Kwaito/
House/Ambient house
House/Balearic beat
House/Bass house
House/Bass house/Brazilian bass/
House/Changa tuki
House/Chicago hard house
House/Chicago house
House/Deep house
House/Diva house
House/Diva house/Hardbag/
House/Electro house
House/Electro house/Big room house/
House/Electro house/Complextro/
House/Electro house/Dutch house/
House/Electro house/Fidget house/
House/Electro house/Jungle terror/
House/Electro house/Melbourne bounce/
House/Electro swing
House/Euro house
House/French house
House/Funky house
House/Future house
House/Garage house
House/Ghetto house
House/Ghetto house/Ghettotech/
House/Ghetto house/Juke house/
House/Ghetto house/Juke house/Footwork
House/Hip house
House/Italo house
House/Jazz house
House/Latin house
House/Microhouse
House/Moombahton
House/Moombahton/Moombahcore/
House/New Jersey sound
House/Outsider house
House/Progressive house
House/Tech house
House/Tribal house
House/Tropical house
House/UK hard house
House/UK hard house/Hard dance/
House/UK hard house/Hard NRG/
House/UK hard house/Pumping house/
House/UK hard house/Pumping house/Hardbass
House/UK hard house/Scouse house/
