genre
Alternative rock
Alternative rock/Britpop
Alternative rock/Britpop/Post-Britpop
Alternative rock/Britpop/Shoegazing
Alternative rock/Britpop/Dream Pop
Alternative rock/Grunge
Alternative rock/Grunge/Post-grunge
Alternative rock/Indie rock
Alternative rock/Indie rock/Dunedin Sound
Alternative rock/Indie rock/Math rock
Alternative rock/Indie rock/Post-punk revival
Alternative rock/Indie rock/Sadcore
Alternative rock/Indie rock/Slowcore
Beat
Christian rock
Dark cabaret
Electronic rock
Electronic rock/Electronicore
Experimental rock
Experimental rock/Art rock
Experimental rock/Industrial rock
Experimental rock/Post-punk
Experimental rock/Post-punk/Gothic rock
Experimental rock/Post-punk/No wave
Experimental rock/Post-punk/Noise rock
Experimental rock/Post-rock
Experimental rock/Post-rock/Post-metal
Folk rock
Garage rock
Glam rock
Hard rock
Jazz rock
Merseybeat
New wave
New wave/World fusion
Paisley Underground
Desert rock
Pop rock
Pop rock/Soft rock
Progressive rock
Progressive rock/Canterbury scene
Progressive rock/Krautrock
Progressive rock/New prog
Progressive rock/Rock in Opposition
Progressive rock/Space rock
Psychedelic rock
Psychedelic rock/Acid rock
Psychedelic rock/Freakbeat
Psychedelic rock/Neo-psychedelia
Psychedelic rock/Raga rock
Rap rock
Rap rock/Rapcore
Rock and roll
Rock and roll/Rockabilly
Southern rock
Stoner rock
Sufi rock
Surf rock
Surf rock/Trop Rock
Visual kei
Visual kei/Nagoya kei
Worldbeat
Wrock
Rock
Heavy metal
Heavy metal/Alternative metal
Heavy metal/Avant-garde metal
Heavy metal/Black metal
Heavy metal/Black metal/Symphonic black metal
Heavy metal/Black metal/Viking metal
Heavy metal/Black metal/War metal
Heavy metal/Black metal/National Socialist black metal
Heavy metal/Christian metal
Heavy metal/Christian metal/Unblack metal
Heavy metal/Death metal
Heavy metal/Death metal/Death 'n' roll
Heavy metal/Death metal/Melodic death metal
Heavy metal/Death metal/Technical death metal
Heavy metal/Death metal/Deathgrind
Heavy metal/Doom metal
Heavy metal/Doom metal/Doom metal § Black-doom
Heavy metal/Doom metal/Doom metal § Blackened death-doom
Heavy metal/Doom metal/Death-doom
Heavy metal/Doom metal/Death-doom/Doom metal § Funeral doom
Heavy metal/Doom metal/Drone metal
Heavy metal/Doom metal/Doom metal § Epic doom
Heavy metal/Doom metal/Doom metal § Gothic-doom
Heavy metal/Doom metal/Doom metal § Progressive doom
Heavy metal/Doom metal/Sludge metal
Heavy metal/Doom metal/Stoner rock
Heavy metal/Doom metal/Doom metal § Traditional doom
Heavy metal/Epic metal
Heavy metal/Folk metal
Heavy metal/Folk metal/Celtic metal
Heavy metal/Folk metal/Medieval metal
Heavy metal/Folk metal/Pagan metal
Heavy metal/Funk metal
Heavy metal/Glam metal
Heavy metal/Gothic metal
Heavy metal/Pirate metal
Heavy metal/Grindcore
Heavy metal/Nintendocore
Heavy metal/Industrial metal
Heavy metal/Info metal
Heavy metal/Kawaii metal
Heavy metal/Latin metal
Heavy metal/Metalcore
Heavy metal/Metalcore/Melodic metalcore
Heavy metal/Metalcore/Deathcore
Heavy metal/Metalcore/Mathcore
Heavy metal/Metalstep
Heavy metal/Neoclassical metal
Heavy metal/Neue Deutsche Härte
Heavy metal/Nu metal
Heavy metal/Post-metal
Heavy metal/Power metal
Heavy metal/Progressive metal
Heavy metal/Progressive metal/Djent
Heavy metal/Rap metal
Heavy metal/Speed metal
Heavy metal/Symphonic metal
Heavy metal/Thrash metal
Heavy metal/Thrash metal/Crossover thrash
Heavy metal/Thrash metal/Groove metal
Punk rock
Punk rock/Anarcho punk
Punk rock/Anarcho punk/Crust punk
Punk rock/Anarcho punk/Crust punk/D-beat
Punk rock/Art punk
Punk rock/Christian punk
Punk rock/Deathrock
Punk rock/Digital hardcore
Punk rock/Folk punk
Punk rock/Folk punk/Celtic punk
Punk rock/Folk punk/Cowpunk
Punk rock/Folk punk/Gypsy punk
Punk rock/Garage punk
Punk rock/Grindcore
Punk rock/Grindcore/Crustgrind
Punk rock/Grindcore/Noisegrind
Punk rock/Grindcore/Goregrind
Punk rock/Grindcore/Pornogrind
Punk rock/Hardcore punk
Punk rock/Hardcore punk/Melodic hardcore
Punk rock/Hardcore punk/Post-hardcore
Punk rock/Hardcore punk/Post-hardcore/Emo
Punk rock/Hardcore punk/Post-hardcore/Emo/Emo pop
Punk rock/Hardcore punk/Post-hardcore/Emo/Screamo
Punk rock/Hardcore punk/Thrashcore
Punk rock/Hardcore punk/Crossover thrash
Punk rock/Hardcore punk/Powerviolence
Punk rock/Horror punk
Punk rock/Nazi punk
Punk rock/Oi!
Punk rock/Pop punk
Punk rock/Psychobilly
Punk rock/Queercore
Punk rock/Riot grrrl
Punk rock/Rock Against Communism
Punk rock/Ska punk
Punk rock/Skate punk
Punk rock/Street punk
