R&B and soul
R&B and soul/Contemporary R&B
R&B and soul/Disco
R&B and soul/Funk
R&B and soul/Funk/Deep funk
R&B and soul/Freestyle
R&B and soul/Freestyle/Go-go
R&B and soul/Freestyle/P-Funk
R&B and soul/Freestyle/Post-disco
R&B and soul/Freestyle/Boogie
R&B and soul/Alternative R&B
R&B and soul/New jack swing
R&B and soul/Rhythm and blues
R&B and soul/Rhythm and blues/Doo Wop
R&B and soul/Soul
R&B and soul/Soul/Blue-eyed soul
R&B and soul/Soul/Northern soul
R&B and soul/Soul/Neo soul
R&B and soul/Soul/Psychedelic Soul
R&B and soul/Soul/Southern soul
